country, type, prefix, voice price, sms price
South Africa,Olo,2716100,0.12,0.05
South Africa,Olo,27161100,0.12,0.05
South Africa,Olo,27161300,0.12,0.05
South Africa,South Africa,27161301,0.09,0.05
South Africa,South Africa,27161302,0.09,0.05
South Africa,South Africa,27161303,0.09,0.05
South Africa,South Africa,27161304,0.09,0.05
South Africa,Olo,27161500,0.12,0.05
South Africa,South Africa,27162850,0.09,0.05
South Africa,Olo,2717001,0.12,0.05
South Africa,Olo,27170070,0.12,0.05
South Africa,South Africa,27170650,0.09,0.05
South Africa,Olo,27171100,0.12,0.05
South Africa,South Africa,27172850,0.09,0.05
South Africa,Olo,2718000,0.1,0.05
South Africa,Olo,2718001,0.1,0.05
South Africa,Olo,27180070,0.1,0.05
South Africa,Olo,2718011,0.09,0.05
South Africa,South Africa,27180650,0.09,0.05
South Africa,Olo,27181100,0.12,0.05
South Africa,South Africa,27182850,0.09,0.05
South Africa,Olo,2721000,0.1,0.05
South Africa,Olo,2721001,0.1,0.05
South Africa,Olo,2721003,0.1,0.05
South Africa,Olo,27210060,0.1,0.05
South Africa,Cape Town,27210061,0.09,0.05
South Africa,Cape Town,27210062,0.09,0.05
South Africa,Cape Town,27210063,0.09,0.05
South Africa,Cape Town,27210064,0.09,0.05
South Africa,Olo,27210070,0.1,0.05
South Africa,Cape Town,27210100,0.09,0.05
South Africa,Olo,27210120,0.1,0.05
South Africa,Cape Town,27210300,0.09,0.05
South Africa,Olo,2721050,0.1,0.05
South Africa,Cape Town,2721060,0.09,0.05
South Africa,Cape Town,27210650,0.09,0.05
South Africa,Cape Town,27210910,0.09,0.05
South Africa,Cape Town,27211000,0.09,0.05
South Africa,Olo,27211100,0.1,0.05
South Africa,Olo,27211800,0.1,0.05
South Africa,Cape Town,27211801,0.09,0.05
South Africa,Cape Town,27211802,0.09,0.05
South Africa,Cape Town,27211803,0.09,0.05
South Africa,Cape Town,27211804,0.09,0.05
South Africa,Olo,2721200,0.1,0.05
South Africa,Olo,27212500,0.1,0.05
South Africa,Cape Town,27212850,0.09,0.05
South Africa,Cape Town,27212860,0.09,0.05
South Africa,Olo,2721300,0.1,0.05
South Africa,Olo,272138032,0.09,0.05
South Africa,Cape Town,272141055,0.09,0.05
South Africa,Cape Town,272141056,0.09,0.05
South Africa,Cape Town,2721492,0.09,0.05
South Africa,Cape Town,272152760,0.09,0.05
South Africa,Cape Town,272155567,0.09,0.05
South Africa,Cape Town,2721565,0.09,0.05
South Africa,Cape Town,2721610,0.09,0.05
South Africa,Cape Town,27216200,0.09,0.05
South Africa,Cape Town,272167075,0.09,0.05
South Africa,Olo,27217440,0.1,0.05
South Africa,South Africa,27220650,0.09,0.05
South Africa,Olo,27221100,0.12,0.05
South Africa,South Africa,27221760,0.09,0.05
South Africa,South Africa,27222850,0.09,0.05
South Africa,Olo,2723001,0.12,0.05
South Africa,Olo,2723004,0.12,0.05
South Africa,South Africa,27230650,0.09,0.05
South Africa,Olo,27231100,0.12,0.05
South Africa,South Africa,27232850,0.09,0.05
South Africa,South Africa,27270650,0.09,0.05
South Africa,South Africa,272710001,0.09,0.05
South Africa,South Africa,272710060,0.09,0.05
South Africa,Olo,27271100,0.12,0.05
South Africa,South Africa,272712060,0.09,0.05
South Africa,South Africa,272713590,0.09,0.05
South Africa,South Africa,272721060,0.09,0.05
South Africa,South Africa,272731060,0.09,0.05
South Africa,South Africa,272741050,0.09,0.05
South Africa,South Africa,27278712,0.09,0.05
South Africa,South Africa,272787120,0.08,0.05
South Africa,South Africa,272787131,0.09,0.05
South Africa,South Africa,272787231,0.09,0.05
South Africa,South Africa,272787260,0.09,0.05
South Africa,South Africa,27278731,0.09,0.05
South Africa,South Africa,272787310,0.08,0.05
South Africa,South Africa,272787320,0.09,0.05
South Africa,South Africa,27280650,0.09,0.05
South Africa,Olo,27281100,0.12,0.05
South Africa,South Africa,27282850,0.09,0.05
South Africa,South Africa,27283500,0.09,0.05
South Africa,South Africa,272850,0.09,0.05
South Africa,Olo,2731000,0.1,0.05
South Africa,Olo,2731001,0.1,0.05
South Africa,Olo,2731003,0.1,0.05
South Africa,Olo,27310060,0.1,0.05
South Africa,South Africa,27310061,0.09,0.05
South Africa,South Africa,27310062,0.09,0.05
South Africa,South Africa,27310063,0.09,0.05
South Africa,South Africa,27310064,0.09,0.05
South Africa,Olo,27310070,0.1,0.05
South Africa,Olo,27310100,0.09,0.05
South Africa,Olo,27310120,0.1,0.05
South Africa,South Africa,27310300,0.09,0.05
South Africa,South Africa,27310301,0.09,0.05
South Africa,Olo,2731050,0.1,0.05
South Africa,South Africa,2731060,0.09,0.05
South Africa,South Africa,27310650,0.09,0.05
South Africa,South Africa,27310910,0.09,0.05
South Africa,Olo,2731100,0.1,0.05
South Africa,Olo,27311100,0.1,0.05
South Africa,South Africa,27311420,0.09,0.05
South Africa,South Africa,27312850,0.09,0.05
South Africa,Olo,27312860,0.09,0.05
South Africa,Olo,27313500,0.12,0.05
South Africa,South Africa,27313501,0.09,0.05
South Africa,South Africa,27313502,0.09,0.05
South Africa,South Africa,27313503,0.09,0.05
South Africa,South Africa,27313504,0.09,0.05
South Africa,South Africa,27314400,0.09,0.05
South Africa,South Africa,2731492,0.09,0.05
South Africa,South Africa,2731555,0.09,0.05
South Africa,South Africa,273157116,0.09,0.05
South Africa,South Africa,273157117,0.09,0.05
South Africa,South Africa,273157118,0.09,0.05
South Africa,South Africa,2731610,0.09,0.05
South Africa,Olo,27317440,0.12,0.05
South Africa,Olo,2731940,0.1,0.05
South Africa,South Africa,2731941,0.09,0.05
South Africa,Olo,2732000,0.1,0.05
South Africa,Olo,2732001,0.1,0.05
South Africa,Olo,27320070,0.1,0.05
South Africa,South Africa,27329400,0.09,0.05
South Africa,Olo,2733001,0.1,0.05
South Africa,Olo,2733004,0.1,0.05
South Africa,Olo,27330070,0.1,0.05
South Africa,South Africa,27331010,0.09,0.05
South Africa,South Africa,2733555,0.09,0.05
South Africa,South Africa,27339400,0.09,0.05
South Africa,Olo,2734001,0.12,0.05
South Africa,South Africa,27340650,0.09,0.05
South Africa,South Africa,27342850,0.09,0.05
South Africa,Olo,2734500,0.12,0.05
